level, duration, hits, total_ducks, score, ratio
472, 60, 42.0, 49, 472, 0.8571428571428571
473, 60, 8.0, 12, 473, 0.6666666666666666
474, 60, 42.0, 51, 474, 0.8235294117647058
475, 60, 37.0, 44, 475, 0.8409090909090909
476, 60, 8.0, 20, 476, 0.4
477, 60, 16.0, 26, 477, 0.6153846153846154
478, 60, 21.0, 26, 478, 0.8076923076923077
479, 60, 19.0, 23, 479, 0.8260869565217391
480, 60, 57.0, 58, 480, 0.9827586206896551
481, 60, 52.0, 57, 481, 0.9122807017543859
482, 60, 56.0, 58, 482, 0.9655172413793104
483, 60, 47.0, 52, 483, 0.9038461538461539
484, 60, 52.0, 55, 484, 0.9454545454545454
485, 60, 52.0, 57, 485, 0.9122807017543859
486, 60, 24.0, 29, 486, 0.8275862068965517
487, 60, 22.0, 29, 487, 0.7586206896551724
488, 60, 49.0, 52, 488, 0.9423076923076923
489, 60, 44.0, 50, 489, 0.88
490, 60, 54.0, 55, 490, 0.9818181818181818
491, 60, 42.0, 44, 491, 0.9545454545454546
492, 60, 58.0, 58, 492, 1.0
493, 60, 54.0, 55, 493, 0.9818181818181818
494, 60, 54.0, 54, 494, 1.0
495, 60, 11.0, 15, 495, 0.7333333333333333
496, 60, 50.0, 52, 496, 0.9615384615384616
497, 60, 14.0, 23, 497, 0.6086956521739131
498, 60, 52.0, 57, 498, 0.9122807017543859
499, 60, 51.0, 54, 499, 0.9444444444444444
500, 60, 12.0, 20, 500, 0.6
501, 60, 38.0, 40, 501, 0.95
502, 60, 53.0, 56, 502, 0.9464285714285714
503, 60, 56.0, 57, 503, 0.9824561403508771
504, 60, 55.0, 57, 504, 0.9649122807017544
505, 60, 43.0, 47, 505, 0.9148936170212766
506, 60, 22.0, 26, 506, 0.8461538461538461
507, 60, 35.0, 37, 507, 0.9459459459459459
508, 60, 9.0, 15, 508, 0.6
509, 60, 32.0, 36, 509, 0.8888888888888888
510, 60, 42.0, 50, 510, 0.84
511, 60, 15.0, 26, 511, 0.5769230769230769
512, 60, 48.0, 53, 512, 0.9056603773584906
513, 60, 53.0, 58, 513, 0.9137931034482759
514, 60, 43.0, 48, 514, 0.8958333333333334
515, 60, 50.0, 57, 515, 0.8771929824561403
516, 60, 55.0, 58, 516, 0.9482758620689655
517, 60, 48.0, 56, 517, 0.8571428571428571
518, 60, 53.0, 58, 518, 0.9137931034482759
519, 60, 32.0, 36, 519, 0.8888888888888888
520, 60, 26.0, 34, 520, 0.7647058823529411
521, 60, 29.0, 35, 521, 0.8285714285714286
522, 60, 48.0, 53, 522, 0.9056603773584906
523, 60, 34.0, 42, 523, 0.8095238095238095
524, 60, 57.0, 57, 524, 1.0
525, 60, 54.0, 57, 525, 0.9473684210526315
526, 60, 57.0, 57, 526, 1.0
527, 60, 57.0, 58, 527, 0.9827586206896551
528, 60, 21.0, 25, 528, 0.84
529, 60, 52.0, 54, 529, 0.9629629629629629
530, 60, 57.0, 57, 530, 1.0
531, 60, 17.0, 21, 531, 0.8095238095238095
532, 60, 50.0, 52, 532, 0.9615384615384616
533, 60, 30.0, 35, 533, 0.8571428571428571
534, 60, 13.0, 16, 534, 0.8125
535, 60, 26.0, 28, 535, 0.9285714285714286
536, 60, 17.0, 26, 536, 0.6538461538461539
537, 60, 23.0, 29, 537, 0.7931034482758621
538, 60, 33.0, 36, 538, 0.9166666666666666
539, 60, 24.0, 31, 539, 0.7741935483870968
540, 60, 20.0, 25, 540, 0.8
541, 60, 9.0, 16, 541, 0.5625
542, 60, 57.0, 57, 542, 1.0
543, 60, 52.0, 56, 543, 0.9285714285714286
544, 60, 53.0, 57, 544, 0.9298245614035088
545, 60, 56.0, 57, 545, 0.9824561403508771
546, 60, 57.0, 57, 546, 1.0
547, 60, 57.0, 58, 547, 0.9827586206896551
548, 60, 32.0, 41, 548, 0.7804878048780488
549, 60, 40.0, 44, 549, 0.9090909090909091
550, 60, 52.0, 55, 550, 0.9454545454545454
